node_id,lat,lon,alt
18MP,42.41472,1.1180559,711.4258
19MP,42.617504,1.079444,1540.0391
20MP,42.368053,1.191667,1299.8047
21MP,42.42222,1.2111108,1985.3516
22MP,42.382217,1.0186108,1451.1719
25MP,42.544445,1.8333328,1625.0
26MP,42.477776,2.3055558,1569.8242
30MP,42.72,0.91499996,1439.9414
33MP,42.548607,1.318056,1055.1758
36MP,42.31944,2.311111,1240.2344
38MP,42.25833,2.419444,677.7344
39MP,42.44833,1.1055558,970.7031
40MP,42.645832,1.2597219,1122.5586
43MP,42.758327,0.9944439,1648.4375
44MP,42.417496,1.2869439,1720.7031
46MP,42.677773,1.2213888,1720.2148
47MP,42.708893,1.1072218,1374.5117
D8,40.953194,0.30669597,515.1367
CR,42.082165,1.9635051,872.5586
CY,41.879967,2.1798327,815.91797
DC,42.193283,2.4837499,421.38672
CJ,42.218086,1.3324,565.91797
CC,42.075825,2.209726,625.97656
XG,41.569187,2.2272897,123.046875
X5,40.798904,0.31926394,1055.1758
D4,42.27249,3.1827838,23.925781
XF,41.567528,2.070624,257.8125
CI,42.260227,2.3654048,852.53906
CL,41.67583,1.7690498,349.1211
XT,41.989506,1.51274,690.4297
XE,41.10578,1.2020699,4.8828125
XD,41.321854,0.886766,686.52344
CU,42.70041,0.7950399,1001.9531
CQ,41.997307,1.0267639,593.75
DQ,41.309128,1.363673,286.6211
D7,41.18684,0.594819,53.710938
Y9,41.31723,2.1309102,3.90625
smartyplanet4001,42.701374,0.796981,1001.9531
amitges,42.598347,0.9821249,2380.371
casacota,42.496456,1.273773,1389.6484
cepp,42.159164,1.565557,2002.9297
masquatrevents,42.247112,2.930097,53.710938
eb3vp,41.962982,2.7373056,102.53906
ellado,41.8489,3.1231537,2.9296875
protcivillloret,41.70274,2.8464508,4.8828125
portimar,41.58452,2.5605505,40.039062
meteoarenys,41.600216,2.4999115,350.09766
fcojose,41.554752,1.9522289,273.4375
papiol,41.43732,2.0173218,134.76562
meteolh,41.369423,2.1242008,50.29297
escolagarbiespl,41.379326,2.0966878,109.86328
meteollunas,41.36588,2.0873387,80.078125
enric,41.431904,1.7857709,162.10938
enricbadia,41.81987,1.4644297,649.90234
cooperativaivars,41.680046,0.98557204,264.64844
cmtorredembarra,41.14563,1.4162098,1.953125
cmaltafulla,41.13351,1.37368,1.4648438
smarcosg,41.069073,1.051615,15.136719
jbarcelo,40.82049,0.500003,13.671875
EM76,41.941887,1.1952854,436.03516
EM52,41.883247,0.57829255,379.8828
EM23,41.138096,0.0043731374,255.3711
ESPVA0300000003802C,38.698326,-0.49833298,562.9883
ESPVA0300000003802D,38.753326,-0.37916696,564.9414
ESPVA0300000003700D,38.841663,0.10055599,14.160156
ESPVA0300000003293A,38.229443,-0.71499985,49.316406
ESPVA0300000003295A,38.254723,-0.646111,55.664062
ESPVA0300000003600A,38.47278,-0.7874999,411.1328
ESPVA0300000003440D,38.629997,-0.5825,710.4492
ESPVA0300000003110B,38.44166,-0.46999997,153.8086
ESPVA0300000003660E,38.383327,-0.7658331,237.79297
ESPVA0300000003430A,38.615833,-0.6575001,665.03906
ESPVA0300000003792B,38.738335,-0.068056,277.83203
ESPVA0300000003780A,38.846107,-0.110278,55.17578
ESPVA0300000003726A,38.728607,0.135,163.57422
ESPVA0300000003690B,38.39444,-0.518333,108.39844
ESPVA0300000003181B,37.979996,-0.688889,9.765625
ESPVA0300000003181D,37.998333,-0.664722,20.019531
ESPVA0300000003181A,37.97611,-0.6825,15.136719
ESPVA0300000003181C,37.953888,-0.73249996,49.316406
ESPVA0300000003730B,38.792774,0.18027799,15.136719
ESPVA0300000003730D,38.783607,0.16611099,20.507812
ESPVA0300000003730F,38.729996,0.19611096,9.765625
ESPVA1200000012450A,39.91,-0.53277797,435.0586
ESPVA4600000046890A,38.829994,-0.545278,434.08203
ESPVA4600000046132A,39.515556,-0.34749997,10.7421875
ESPVA4600000046758A,39.00444,-0.28999996,378.90625
ESPVA4600000046117A,39.582214,-0.4938889,150.39062
ESPVA4600000046240B,39.22583,-0.521944,50.29297
ESPVA4600000046950A,39.464714,-0.427222,44.921875
ESPVA4600000046635A,38.778885,-0.7958329,626.9531
ESPVA4600000046635B,38.784447,-0.78527796,634.7656
ESPVA4600000046388A,39.425,-0.684444,259.76562
ESPVA4600000046613A,39.147778,-0.329722,14.160156
ESPVA4600000046940A,39.49333,-0.46555597,69.82422
ESPVA4600000046192A,39.381386,-0.54333293,225.09766
ESPVA4600000046870B,38.817223,-0.60638905,370.1172
ESPVA4600000046870D,38.848057,-0.609444,375.0
ESPVA4600000046844A,38.85333,-0.4449999,334.96094
ESPVA4600000046295A,39.095272,-0.62888896,69.82422
ESPVA4600000046021B,39.473057,-0.35416695,40.039062
ESPVA4600000046018D,39.47111,-0.40083295,49.804688
ESPVA4600000046800B,38.988888,-0.524722,128.41797
ESPVA0300000003113A,38.349445,-0.641667,194.82422
ESPVA0300000003837B,38.781113,-0.51999986,701.1719
ESPVA4600000046175A,39.725548,-0.9713888,359.86328
ESPVA4600000046370A,39.477776,-0.72111094,292.48047
ESPVA4600000046700B,39.980274,-0.169167,23.925781
ESIBA0700000107190A,39.66944,2.5791667,198.24219
ESIBA0700000107200A,39.46917,3.1513884,129.88281
ESIBA0700000107141C,39.59388,2.7069438,35.15625
ESIBA0700000107141D,39.604168,2.739444,55.17578
ESIBA0700000107007A,39.554443,2.6913888,10.7421875
ESIBA0700000107460A,39.880276,3.0155556,83.00781
ESIBA0700000107670B,39.416107,3.2472217,36.132812
ESIBA0700000107691B,39.38972,3.149444,205.07812
ESIBA0700000107240B,39.596386,3.0458329,120.11719
ESIBA0700000107200B,39.45528,3.1855555,509.76562
ESIBA0700000107650A,39.355556,3.1302776,70.3125
ESIBA0700000107540A,39.584164,3.3216667,50.78125
ESIBA0700000207829A,38.95833,1.2788887,12.6953125
ESIBA0700000207800A,38.907223,1.413056,26.367188
ESIBA0700000207820A,38.98583,1.2999997,35.15625
ESIBA0700000307760A,40.002216,3.840833,16.113281
ESIBA0700000307712B,39.871384,4.2077775,90.82031
ESIBA0700000307710A,39.850273,4.256667,60.058594
vilafranca,40.427197,-0.25780898,1125.0
marinareal,39.461655,-0.307791,2.9296875
federico,39.65229,-0.307478,69.82422
meteovallplaya,39.08791,-0.21539298,1.953125
runahue,38.220978,-0.51584786,109.86328
tinin30,39.54591,2.3828187,1.953125
hgroth,39.51346,2.6364698,0.9765625
llucmajor2,39.52016,2.8286679,169.92188
campacity,39.7754,2.9652767,131.83594
stamargalida2,39.734154,3.1443596,77.14844
manacor4,39.547718,3.2122498,130.3711
ESCAT0800000008476A,41.718052,2.547778,97.16797
ESCAT0800000008330B,41.492218,2.3661108,12.207031
ESCAT1700000017486C,42.247776,3.0691667,9.277344
ESCAT1700000017486B,42.258606,3.0761106,8.7890625
ESCAT1700000017600B,42.269444,2.961111,65.42969
ESCAT2500000025597B,42.54583,1.0441668,2349.6094
ESCAT4300000043530B,40.562496,0.45833293,83.49609
ESCAT4300000043740A,41.083614,0.635833,49.316406
ESCAT2500000025591A,42.315838,1.051111,868.16406
02MP,42.369442,0.8166669,1250.0
